1.453938557802497122e+01 -7.159185974544279851e+00
-5.769700923825281080e+01 2.082198115304847974e+01
-8.747302249676565111e+00 4.854516161829677401e+01
-2.917198718119454171e+01 2.387929997443556829e+01
-3.984821025602057176e+01 -3.238839442868830787e+01
4.605150679772196298e+01 8.852102570414629668e+00
-3.507769136268348831e+01 1.054911984933950286e+01
-1.688740205938864847e+01 3.209188389643654915e+01
-3.202037544235385980e+01 1.901741925381919529e+01
2.275990637795589677e+01 2.282554355246607614e+01
-1.292179086579397307e+01 -2.828232426688657952e+01
-2.606063067900897146e+00 2.701195542842039998e+01
3.470496407141857986e+01 1.528839489981503696e+01
-3.257569008131123667e+01 2.804879636192955772e+01
4.571639439950602402e+00 2.482425908613071996e+01
-1.634171960312220673e+00 1.836118524673972985e+01
-3.051904793385212855e+01 -5.867077295562627803e+00
4.275073303229871868e+01 -1.990757118154218075e+00
-4.926737712464678509e+00 -2.152509612475252254e+01
-2.443469615055219890e+01 3.489669672864426531e+01
-1.203207512436702586e+01 2.959917585644917537e+01
-4.533782923620022842e+01 -2.772122466341870961e+01
-2.370186860548147934e+01 1.255425526812093828e+01
3.324334577010040448e+01 1.070497976469661694e+01
7.545427201860118949e+00 1.879244406606938256e+01
-2.005361990579735298e+00 1.246023856715771139e+01
2.475801216806578608e+01 1.814577035111512160e+01
3.119064690580206545e+01 1.317252592281523782e+01
9.208765907908007975e+00 2.009407411495189066e+01
1.420854557946161556e+00 1.769496372908499637e+01
6.816285745816253794e+00 1.714039934244894781e+01
-2.450010843850620290e+01 2.502063007539723927e+01
-3.515421187395070746e+01 -2.124966326789002125e+01
2.527771953709492436e+01 1.556342518283687326e+01
3.777323810233063739e+01 -1.883769224087647798e+00
-2.063315908904106166e+01 2.779794663825993339e+01
8.092857423060067390e+00 -2.350407925955149224e+01
-9.079911103938609784e+00 1.077636284285199508e+01
3.886960324185839255e+01 1.018186299486013802e+01
4.102633391785593631e+01 9.061911523168189930e+00
9.725983180127926175e+00 1.400927531766977374e+01
2.148943391582469786e+01 1.514678935180158170e+01
7.555636755003862781e+00 1.678004759379658850e+01
-4.662495652194182938e+00 -2.322929052132161232e+01
-1.443563867853867322e+01 3.915685035189425633e+01
